Application Number,Filing Date,Mark Name,Trademark Description,Goods and Services,Applicant Name,Applicant Country,Trademark Image URL,Status,Expiry Date
T0320947I,2003-10-31,polifan,,Rotary mechanical tools for sharpening and polishing metals and other materials.,AUGUST RUGGEBERG GMBH & CO. KG,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320947I/9e7492b3-2347-40ca-a8f4-9f55d7dfcd0f/T0320947I.jpg,Registered,2028-02-16
T0320948G,2003-12-09,continental,,"Watches, watch parts.",EVACO AG.,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320948G/a26c3c98-27b0-4158-9992-79eab72e4b12/T0320948G.jpg,Registered,2029-10-02
T0320949E,2003-09-30,corporate value associates,,"Organizational and business consulting; company consulting, business valuation services, company management assistance.",CORPORATE VALUE ASSOCIATES B.V.,Netherlands,https://ipos-storage.data.gov.sg/trademarks/T0320949E/bf0c2b9a-4dce-4493-9aff-243a4c69b45e/T0320949E.jpg,Abandoned ,
T0320951G,2003-09-30,corporate value associates,,Engineer's office services.,CORPORATE VALUE ASSOCIATES B.V.,Netherlands,https://ipos-storage.data.gov.sg/trademarks/T0320951G/fac0332d-9516-4efa-9727-2dc18b2ae8b5/T0320951G.jpg,Abandoned ,
T0320952E,2003-12-09,bugs bunny,,Dietetic substances for medical use.,SOCIETE DES PRODUITS NESTLE S.A.,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320952E/679cd64d-4224-4e44-826d-73aef06f561a/T0320952E.jpg,Registered,2020-03-27
T0320953C,2003-12-09,bugs bunny,,"Vegetables, fruit, meat, poultry, fish and seafood products in the form of extracts, soups, jellies, pastes, preserves, cooked dishes and frozen or dehydrated preserves as well as in crispy form; jams; eggs; milk, beverages made with milk, yoghurts, cheeses and other foods made with milk; desserts made with milk; milk product substitutes.",SOCIETE DES PRODUITS NESTLE S.A.,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320953C/4d5eb776-9111-4b33-a012-49e9c9e9b1a8/T0320953C.jpg,Registered,2020-03-27
T0320954A,2003-12-09,bugs bunny,,"Coffee and coffee extracts; artificial coffee and artificial coffee extracts; tea and tea extracts, cocoa-based preparations and beverages, confectionery and chocolate products, sugar confectionery; sugar; bakery goods; pastry articles, desserts, puddings; edible ice, products for preparing edible ices; foods made with rice, flour or cereals, also in the form of cooked dishes.",SOCIETE DES PRODUITS NESTLE S.A.,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320954A/58b62bca-4e2e-443f-a4e6-275dc12398d7/T0320954A.jpg,Registered,2020-03-27
T0320955Z,2003-12-09,bugs bunny,,"Mineral water and other non-alcoholic beverages, syrups, extracts and essences for making non-alcoholic beverages.",SOCIETE DES PRODUITS NESTLE S.A.,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320955Z/e9d56d0f-1746-406c-afe6-4b0910655056/T0320955Z.jpg,Registered,2020-03-27
T0320956H,2003-11-06,aquafin,,"Industrial chemicals, namely those for construction purposes; chemical detergents for construction purposes (included in this class).",SCHOMBURG GMBH & CO. KG,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320956H/4df798d6-24d8-4174-b65c-6b98c87e3184/T0320956H.jpg,Registered,2021-01-25
T0320957F,2003-10-31,combidisc,,Polishing and grinding wheels for use with polishing and grinding machines.,AUGUST RUGGEBERG GMBH & CO. KG,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320957F/1f0ae974-aa2f-4e47-8f2e-9c058c68aa2a/T0320957F.jpg,Registered,2023-05-18
T0320958D,2003-10-31,charles fairmorn,,"Tobacco products, cigarette paper, tobacco pipes, cigar holders and cigarette holders of wood also in combination with vulcanite, bone, horn, tortoise shell, fish bone, ivory, amber, meerschaum, synthetic rubber and synthetic resins.",Joh. Wilh. von Eicken GmbH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320958D/371343c5-2de3-4eac-949d-b86cd68c140e/T0320958D.jpg,Registered,2020-04-27
T0320959B,2003-10-29,amc,,"Flatware and cutlery, kitchenware included in this class.",AMC INTERNATIONAL ALFA METALCRAFT CORPORATION AG,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320959B/d5f33b9e-786d-426a-b115-e6082b818438/T0320959B.jpg,Registered,2021-11-05
T0320960F,2003-10-29,amc,,"Thermometers for covers and stoves, warning devices for cooking utensils, manometers.",AMC INTERNATIONAL ALFA METALCRAFT CORPORATION AG,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320960F/2716f933-91a2-4f24-a637-c3d2553eeb23/T0320960F.jpg,Registered,2021-11-05
T0320961D,2003-10-29,amc,,"Electric cooking utensils, pressure cookers (electric pressure cookers), kitchen ranges, cooking apparatus and installations.",AMC INTERNATIONAL ALFA METALCRAFT CORPORATION AG,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320961D/e8f4d470-28d3-4f35-8eda-8da725b4fe29/T0320961D.jpg,Registered,2021-11-05
T0320962B,2003-10-29,amc,,"Cookbooks, cookery publications.",AMC INTERNATIONAL ALFA METALCRAFT CORPORATION AG,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320962B/56ed23ff-604d-4dff-9352-ddb61b745f66/T0320962B.jpg,Registered,2021-11-05
T0320963J,2003-10-29,amc,,Kitchen furniture.,AMC INTERNATIONAL ALFA METALCRAFT CORPORATION AG,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320963J/7e14ee45-309e-4968-8266-b98d9bf17c26/T0320963J.jpg,Registered,2021-11-05
T0320964I,2003-10-29,amc,,"Non-electrical pressure cookers, non-electrical cooking utensils, kitchen utensils, not of precious metal.",AMC INTERNATIONAL ALFA METALCRAFT CORPORATION AG,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320964I/811199b0-28f4-4d80-a6cb-ab5751ee5abc/T0320964I.jpg,Registered,2021-11-05
