Application Number,Filing Date,Mark Name,Trademark Description,Goods and Services,Applicant Name,Applicant Country,Trademark Image URL,Saved Image File,Status,Expiry Date
40201800005W,2018-01-02,solu sight ,,Computers; Computer mice; Computer discs; Computer disks; Computer mouse; Computer buses; Computer cases; Computer chips; Computer tapes; Home computers; Trip computers; Micro-computer; Computer cables; Computer mouses; Computer modems; Micro-computers; Tablet computer; Computer buffers.,SOLUSTAR PTE. LTD.,Singapore,https://ipos-storage.data.gov.sg/trademarks/40201800005W/d5b2c046-a4d1-4f16-b403-c1ab97ec4362/c092807d-344d-4110-9c15-721a21a78d15.jpg,40201800005W.jpg,Registered,2028-01-02
40201800006Q,2018-01-02,todo connect future,,"Sound alarms; alarm bells, electric; biometric fingerprint door locks; alarms; bells [warning devices]; card operated electronic locks; closed circuit television cameras; digitally controlled locks; electronic access control systems for doors in combination with a video camera; electric door bells; encoded magnetic cards; electronic security apparatus for use in homes; encoded key cards; fire alarms; fire sensors; electronic sensors; identity cards, magnetic; intruder detecting sensors; light-emitting diodes [LED]; locks, electric; motion-activated cameras; signal bells; theft prevention installations, electric.",TODO INNOVATION PTE. LTD.,Singapore,https://ipos-storage.data.gov.sg/trademarks/40201800006Q/1d9a6ecc-fb93-4b8f-8e16-6b91809859d7/c5a89593-d02a-41ee-89f7-fad0fcef723c.jpg,40201800006Q.jpg,Registered,2028-01-02
40201800007S,2018-01-02,pinstop ,,"Concierge and other hotel software, including maps via the internet; software; map software.",Digby PTE. Ltd,Singapore,https://ipos-storage.data.gov.sg/trademarks/40201800007S/8939fb32-43f0-4e63-872e-080a263bc3a1/9967e285-185c-469f-af28-5f95ec5211a8.jpeg,40201800007S.jpg,Registered,2028-01-02
40201800009Y,2018-01-02,rico,,"Accessories and supplies for musical Instruments, namely reeds, mutes, mouthpieces, cork grease, clarinet caps, straps, reed guards, neck savers, padguards, ligatures and mouthpiece savers.",Rico Corporation,United States of America,https://ipos-storage.data.gov.sg/trademarks/40201800009Y/a0abfaed-c59c-4647-9171-85fbc2b87b95/34983680-14e3-469f-b716-87a6da03ef56.jpg,40201800009Y.jpg,Registered,2028-01-02
40201800010S,2018-01-02,da nano,,Chemical products used in industry; industrial chemicals; chemicals for use in the electronics industry.,"Versum Materials US, LLC",United States of America,https://ipos-storage.data.gov.sg/trademarks/40201800010S/4be6af86-644d-4996-8f5a-dd0aa50fde33/667bcf6e-c87b-4515-b7a9-726dadf04fac.bmp,40201800010S.jpg,Registered,2028-01-02
40201800012W,2018-01-02,modern china tea shop,,"Administration of the business affairs of franchises; convenience store retailing; retail services; Business advice relating to franchising; Business assistance relating to franchising; Business consultancy relating to franchising; Business advisory services relating to franchising; Provision of business advice relating to franchising; Business consultancy services relating to franchising; Business advertising services relating to franchising; Assistance in franchised commercial business management; Provision of business information relating to franchising; Franchising services [group purchasing, group advertising]; Business management advisory services related to franchising; Business management advisory services relating to franchising; Business assistance relating to the establishment of franchises.","HuNan ChaYue Catering Management Co., Ltd.",China,https://ipos-storage.data.gov.sg/trademarks/40201800012W/ed0b019c-5b89-4bd9-9cdc-03560820a5c9/0e1b1fff-ea6d-4dc5-9a24-cdeeeab3ce25.jpg,40201800012W.jpg,Registered,2028-01-02
40201800013T,2018-01-02,yo! tea,,"Tea; Chai tea; Iced tea; Fruit tea; Tea cakes; Mate [tea]; Instant tea; Jasmine tea; Tea essence; Packaged tea; Aromatic tea; Artificial tea; Apple flavoured tea; Fruit flavoured tea; Tea-based beverages; Orange flavoured tea; Beverages made of tea; Non-medicated tea bags; Beverages with tea base; Non-medicated tea products; Non-medicated tea beverages; Non-medicated tea based beverages; Herb tea, not for medical purposes; Preparations with a coffee and tea base; Herbal tea, other than for medicinal use; Flowers or leaves for use as tea substitutes; Preparations for making beverages [tea based]; Herb tea-based beverages, not for medical purposes.",wang dan,China,https://ipos-storage.data.gov.sg/trademarks/40201800013T/de35c1e9-1285-443e-87ab-56cec3c53b41/c2c828c6-1704-4bd6-8763-f9f405ad3fb8.jpeg,40201800013T.jpg,Registration Deemed Never Made,2028-01-02
40201800016Y,2018-01-02,cytotwister twister ,,Bioreactor for cell culturing; Bioreactor for bacteria culturing; Disposable plastic bioreactors for cell culturing; Disposable plastic bioreactors for bacteria culturing; Incubators for cell cultures; Incubators for bacteria cultures.,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,"Taiwan, Republic of China",https://ipos-storage.data.gov.sg/trademarks/40201800016Y/8f095a8a-934e-41fa-9937-07558dd34384/64c96a70-5811-435b-841e-5e874127fc9d.jpg,40201800016Y.jpg,Registered,2028-01-02
40201800017U,2018-01-02,sionic ,,Financial consulting.,Sionic Advisors Global Holdings LLP,United Kingdom,https://ipos-storage.data.gov.sg/trademarks/40201800017U/df0bda1d-5657-44b2-85c8-15de01b1b887/fbda6f0a-3113-45fe-b104-71d7bceb6b48.bmp,40201800017U.jpg,Registered,2028-01-02
40201800018X,2018-01-02,sionic advisors,,Financial consulting.,Sionic Advisors Global Holdings LLP,United Kingdom,https://ipos-storage.data.gov.sg/trademarks/40201800018X/217668bb-e3bb-4cba-a793-7d367693718f/d7965e61-5691-418b-a75a-a8b65ed7eed7.bmp,40201800018X.jpg,Registered,2028-01-02
