Application Number,Filing Date,Mark Name,Trademark Description,Goods and Services,Applicant Name,Applicant Country,Trademark Image URL,Saved Image File,Status,Expiry Date
40201800025Q,2018-01-02,helen's bar,,"Canteen services; hotel services; café services; food and drink catering; accommodation bureau services [hotels, boarding houses]; self-service restaurant services; snack-bar services; bar services; mobile catering services; Coffee shop services; Office catering services for the provision of coffee; Tea rooms; Tea room services.","Beijing Helen Brand Management Co., Ltd.",China,https://ipos-storage.data.gov.sg/trademarks/40201800025Q/f727df49-57fb-4719-9b82-af59603aa048/16b5baa6-7d7a-4125-a767-4f37baf5f07c.jpg,40201800025Q.jpg,Cancelled,2028-01-02
40201800005W,2018-01-02,solu sight ,,Computers; Computer mice; Computer discs; Computer disks; Computer mouse; Computer buses; Computer cases; Computer chips; Computer tapes; Home computers; Trip computers; Micro-computer; Computer cables; Computer mouses; Computer modems; Micro-computers; Tablet computer; Computer buffers.,SOLUSTAR PTE. LTD.,Singapore,https://ipos-storage.data.gov.sg/trademarks/40201800005W/d5b2c046-a4d1-4f16-b403-c1ab97ec4362/c092807d-344d-4110-9c15-721a21a78d15.jpg,40201800005W.jpg,Registered,2028-01-02
40201800007S,2018-01-02,pinstop ,,"Concierge and other hotel software, including maps via the internet; software; map software.",Digby PTE. Ltd,Singapore,https://ipos-storage.data.gov.sg/trademarks/40201800007S/8939fb32-43f0-4e63-872e-080a263bc3a1/9967e285-185c-469f-af28-5f95ec5211a8.jpeg,40201800007S.jpg,Registered,2028-01-02
40201800012W,2018-01-02,modern china tea shop,,"Administration of the business affairs of franchises; convenience store retailing; retail services; Business advice relating to franchising; Business assistance relating to franchising; Business consultancy relating to franchising; Business advisory services relating to franchising; Provision of business advice relating to franchising; Business consultancy services relating to franchising; Business advertising services relating to franchising; Assistance in franchised commercial business management; Provision of business information relating to franchising; Franchising services [group purchasing, group advertising]; Business management advisory services related to franchising; Business management advisory services relating to franchising; Business assistance relating to the establishment of franchises.","HuNan ChaYue Catering Management Co., Ltd.",China,https://ipos-storage.data.gov.sg/trademarks/40201800012W/ed0b019c-5b89-4bd9-9cdc-03560820a5c9/0e1b1fff-ea6d-4dc5-9a24-cdeeeab3ce25.jpg,40201800012W.jpg,Registered,2028-01-02
40201800016Y,2018-01-02,cytotwister twister ,,Bioreactor for cell culturing; Bioreactor for bacteria culturing; Disposable plastic bioreactors for cell culturing; Disposable plastic bioreactors for bacteria culturing; Incubators for cell cultures; Incubators for bacteria cultures.,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,"Taiwan, Republic of China",https://ipos-storage.data.gov.sg/trademarks/40201800016Y/8f095a8a-934e-41fa-9937-07558dd34384/64c96a70-5811-435b-841e-5e874127fc9d.jpg,40201800016Y.jpg,Registered,2028-01-02
40201800017U,2018-01-02,sionic ,,Financial consulting.,Sionic Advisors Global Holdings LLP,United Kingdom,https://ipos-storage.data.gov.sg/trademarks/40201800017U/df0bda1d-5657-44b2-85c8-15de01b1b887/fbda6f0a-3113-45fe-b104-71d7bceb6b48.bmp,40201800017U.jpg,Registered,2028-01-02
40201800018X,2018-01-02,sionic advisors,,Financial consulting.,Sionic Advisors Global Holdings LLP,United Kingdom,https://ipos-storage.data.gov.sg/trademarks/40201800018X/217668bb-e3bb-4cba-a793-7d367693718f/d7965e61-5691-418b-a75a-a8b65ed7eed7.bmp,40201800018X.jpg,Registered,2028-01-02
40201800019Q,2018-01-02,simply,,"Edible oils; edible fats; margarine; shortening; vegetable ghee (edible fats); vanaspati (edible fats); hydrogenated vegetable oils; nuts, prepared; cashew kernels, processed; peanuts, processed; peanut butter; fruit, preserved; raisins; fruits, tinned; salads; potato chips; preserved garden herbs (other than seasonings); mushrooms, preserved; tofu; beans, preserved; albumen for food; eggs; milk; milk beverages (milk predominating); milk products; cheese; yogurt; crustaceans (not live); shellfish (not live); food products made from fish; Meat, fish, poultry and game; meat extracts; soups; fruit jellies; jams; cranberry sauce (compote); jellies for food; potato chips, preserved, dried and cooked fruits and vegetables; onions (preserved); sardines; caviar; tomato puree; Canned tomatoes; Condensed tomatoes; Pre-cooked tomato based foods; Pre-cooked tomato soups; Preserved tomatoes; Tomato concentrates (puree); Tomato juice for cooking; Tomato paste; Tomato preserves; Tomatoes (canned); Tomatoes (cooked); Tomatoes (dried); Tomatoes (preserved); Baked beans; Preparations consisting principally of baked beans; Bean curd; Bean curd (processed vegetables); Beans, preserved; Broad beans; Canned beans; Chilli beans; Dried soya beans; Preparations made wholly or principally of bean curd; Preserved beans; Preserved soya beans; Refried beans; Soya bean curd; Soya bean milk; Soya bean milk in liquid and solid form; Soya bean oil for food; Soya beans, preserved, for food.; Flour; biscuits; cookies; bread; cakes; candy for food; confectionery; baking powder; edible ices; cereal preparations; pastry; noodles; pasta; chocolate; cocoa; cocoa-based beverages; coffee; coffee-based beverages; tea; sugar; invert sugar; raw sugar; treacle; castor sugar; golden syrup; coffee crystals being sweeteners in this class; molasses for food; rice; sago; starch products for food; honey; yeast; leaven; salt; mustard; vinegar; condiments; dressings for salad; sauces [condiments]; seasonings; spices; essences for foodstuffs [except etheric essences and essential oils]; flavourings, other than essential oils; ice; instant noodles; canned spaghetti in tomato sauce; Tomato based sauces; Tomato ketchup; Tomato sauce; Bean meal; Coffee beans; Hot chilli bean paste; Locust bean gum; Soya bean paste (condiment); tapioca; artificial coffee.",Wilmar International Limited,Singapore,https://ipos-storage.data.gov.sg/trademarks/40201800019Q/83d9bd28-9022-4d57-8d17-6271e42b3747/31016e0a-961e-4312-941a-04d15bff1bde.jpg,40201800019Q.jpg,Registered,2028-01-02
40201800022S,2018-01-02,eska,,Lubricants; Lubricating grease.,Cong ty co phan ESKA,Viet Nam,https://ipos-storage.data.gov.sg/trademarks/40201800022S/3a9bb36c-2a25-4f9b-997d-812ab7a6683a/51c2dc64-b7be-45f3-a172-97f27adcfcfc.jpg,40201800022S.jpg,Registered,2028-01-02
40201800024V,2018-01-02,omars ,,"Rechargeable batteries; chargers for electric batteries; wires, electric; audio- and video-receivers; computer peripheral devices; Headphones; monitors [computer hardware]; portable media players; cabinets for loudspeakers; plugs, sockets and other contacts [electric connections]; computer keyboards; USB flash drives; testing apparatus not for medical purposes; thermometers, not for medical purposes; Data transmission cables; Electric cables for the transmission of sounds and images; Power connectors; USB chargers; Battery chargers; Audio cable connectors.",Wellmade Corporation Limited,Hong Kong,https://ipos-storage.data.gov.sg/trademarks/40201800024V/14fc9245-93a1-4db5-9e9a-4289e6e8a38f/d68a067d-2399-46ed-b7cd-7179bdffcd83.jpg,40201800024V.jpg,Registered,2028-01-02
40201800027R,2018-01-02,1855 supertea crazy tea lab,,Coffee-based beverages; tea-based beverages; Honey; Confectionery; Pastries; hot dog sandwiches; Bread; cereal-based snack food; Pizzas; cereal preparations; Noodles; ice cream; Condiments; popcorn.,"TAN,CHIH-WEN","Taiwan, Republic of China",https://ipos-storage.data.gov.sg/trademarks/40201800027R/693650d9-04d8-4e56-bc26-338722d35267/dbb3e738-affa-4e0f-abec-d36d930c170d.jpg,40201800027R.jpg,Registered,2028-01-02
